번호,식품명,주재료,조리법,추천태그,이미지태그,지도검색어,description,ingredient,recipe,source,original name
546,양파부추무침,"양파, 부추, 간장, 고추가루",무침,"#한식, #집밥",#반찬,반찬,양파와 부추를 함께 무쳐낸 새콤달콤한 무침입니다.,"양파, 부추, 양념장, 고춧가루, 간장, 까나리액젓, 올리고당, 식초, 참기름, 참깨","1. 양파는 6cm 길이로 굵게 채 썰어준 후 찬물에 10분정도 담가 매운맛을 빼준 후 물기를 제거한다.2. 부추는 6cm 길이로 썬다.[양념장 만들기]3. 고춧가루, 간장, 까나리액젓, 올리고당, 식초, 참기름, 참깨를 고루 섞어 양념장을 만들어준다.[버무리기]4. 양파, 부추, 양념장을 잘 버무려 마무리한다.사용조미료 : 고춧가루, 양조간장, 올리고당, 양조식초, 참기름, 볶음참깨, 까나리액젓",팜킷,양파부추무침
547,열무겉절이,"열무, 고추가루, 젓갈",무침,"#한식, #집밥",#반찬,반찬,"열무를 살짝 절여 고춧가루, 다진 마늘, 생강즙, 액젓으로 버무려 낸 겉절이입니다.","열무, 실파, 양념장, 다진마늘, 다진생강, 멸치액젓, 설탕, 깨소금, 참기름, 양 념, 소금, 고춧가루","1. 열무는 5cm 길이로 잘라서 소금을 뿌린 후 절인다.2. 실파는 깨끗이 다듬어 씻어 5cm 길이로 썬다.3. 절여진 열무를 씻어 건져 물기를 짠 다음 고운 고춧가루를 넣어 고루 주물러 붉은 색을 들인다.[양념장 만들기]4. 다진 마늘, 생강, 멸치액젓, 설탕, 깨소금, 참기름을 섞어 양념장을 만들어준다.[버무리기]5. 손질한 재료에 만들어놓은 양념장을 넣고 버무린다.사용조미료 : 참기름, 볶음참깨, 백설탕, 멸치액젓, 고춧가루, 꽃소금",팜킷,열무겉절이
548,오이부추무침,"오이, 부추, 고추가루, 간장",무침,"#한식, #집밥",#반찬,반찬,아삭한 오이와 향긋한 부추를 새콤하게 무쳐낸 반찬입니다.,"오이, 부추, 양 념, 설탕, 다진마늘, 다진생강, 멸치액젓, 소금, 고춧가루","1. 오이는 길게 열십자 모양으로 가른 뒤 7cm 길이로 잘라 소금을 뿌려 10분간 절인다.2. 부추는 7cm 길이로 자른다.3. 절인 오이는 물기를 빼고 고춧가루로 버무려 색을 낸다.[무치기]4. 양념의 분량을 부추와 가볍게 무쳐준다.5. 무쳐 놓은 부추와 오이를 함께 버무린다.사용조미료 : 꽃소금, 고춧가루, 백설탕, 멸치액젓",팜킷,오이부추무침
549,오이생채,"오이, 고추가루, 간장",무침,"#한식, #집밥",#반찬,반찬,"오이를 얇게 썰어 고춧가루, 식초, 설탕, 다진 파ᆞ마늘, 깨소금으로 무친 생채입니다.","오이, 양파, 양 념, 간장, 고추장, 설탕, 고춧가루, 식초, 다진파, 다진마늘, 통깨","1. 오이는 깨끗이 씻고 길이로 반으로 갈라 어슷하게(0.3cm) 썬다. 양파도 채(0.3cm) 썬다.[버무리기]2. 오이와 양파에 분량의 양념(간장, 고추장, 설탕, 고춧가루, 식초, 다진파, 다진마늘, 통깨)을 넣고버무려 완성한다.사용조미료 : 양조간장, 고추장, 백설탕, 고춧가루, 식초, 볶음참깨",팜킷,오이생채
550,오이지무침,"오이지, 고추가루",무침,"#한식, #집밥",#반찬,반찬," 여름 제철 재료인 오이! 수분이 많고 아삭거리는 식감 덕분에 오이를 좋아하는 분들이 꽤 많으신데요~ 오늘은 꼬들꼬들하게 씹는 맛이 좋은 오이지무침을 가져왔어요! 여름 반찬인 만큼 새콤달콤한 것이 포인트랍니다. 입맛 없을 때 밥 한 숟갈에 오이지 한 개면 식욕이 금방 돌아올 거예요. 자주 먹는 김치 대신 오이지무침을 조물조물 무쳐 식탁에 올려보세요! 
","오이지%3개, 홍고추%½개, 쪽파%3대, 통깨%약간, 고춧가루%1큰술, 설탕%½큰술, 물엿%½큰술, 다진 마늘%½큰술, 참기름%1/2큰술 "," 오이지는 동그랗게 썰고 20분 정도 찬물에 담가 짠맛을 빼주세요. 홍고추와 쪽파는 송송 썰어주세요. (오이지의 염도에 따라 물에 담구는 시간을 조절해주세요.) 짠기를 뺀 오이지는 찬물에 헹군 후 건져 면포에 싸서 물기를 꼭 짜주세요. 볼에 양념 재료를 넣고 골고루 섞은 후 오이지와 홍고추, 쪽파를 넣어 조물조물 무쳐주세요. 통깨를 뿌려 완성해주세요. (tip 오이지의 산미에 따라 식초를 가감해주세요.)",우리의 식탁,오이지무침
551,오징어채무침,"오징어채, 고추가루, 물엿",무침,"#한식, #집밥",#반찬,반찬,오징어채를 고추장양념에 버무려 매콤하게 무친 밑반찬입니다.,"오징어(포), 양념장, 간장 , 고추장, 물엿, 통깨, 참기름, 양 념, 소금","1. 오징어포는 티를 골라 놓는다.[양념장 만들기]2. 간장, 고추장, 물엿, 통깨, 참기름을 섞어 양념장을 만든다.[버무리기]3. 오징어포에 양념장을 넣어 잘 무친 후 소금으로 간을 맞춘다.사용조미료 : 간장, 꽃소금, 고추장, 물엿, 볶음참깨, 참기름",팜킷,오징어채무침
552,오징어채소무침,"오징어, 채소류, 고추가루, 식초",무침,"#한식, #집밥",#반찬,반찬,새콤달콤한 초장에 신선한 채소와 오징어를 무쳐낸 무침요리입니다.,"오징어, 무, 오이, 미나리, 당근, 양념장, 물엿, 고춧가루, 식초, 다진마늘, 참깨","1. 데친 오징어는 6 × 2cm 크기로 썬다.2. 당근, 무는 0.2 X 0.2 X 5cm 크기로 채썰어 놓는다.3. 미나리는 5cm 길이로 썬다.4. 오이는 0.2cm 두께로 반달모양으로 썰어준다.[양념장 만들기]5. 물엿, 고춧가루, 식초, 다진마늘, 참깨를 섞어 양념장을 만들어 준다.[무치기]6. 오징어, 당근, 무, 미나리, 오이, 양념장을 한데 모아 무쳐준다.사용조미료 : 고춧가루, 볶음참깨, 식초, 물엿",팜킷,오징어채소무침
553,치커리겉절이,"치커리, 고추가루, 젓갈",무침,"#한식, #집밥",#반찬,반찬,"치커리를 먹기 좋은 크기로 잘라 고춧가루, 간장, 식초, 설탕으로 무친 겉절이입니다.","치커리, 양파, 양념장, 매실액, 간장, 고춧가루, 다진마늘, 식초, 참기름, 양념장, 통깨","1. 치커리는 깨끗이 씻어 5cm로 썰어준다.2. 양파는 5cm 길이로 얇게 채썬다.[양념장 만들기]3. 매실액, 간장, 고춧가루, 다진마늘, 식초, 참기름을 섞어 양념장을 만든다.[버무리기]4. 치커리, 양파, 양념장을 섞어 버무린 후 통깨를 뿌려 완성한다.사용조미료 : 매실청, 간장, 고춧가루, 참기름, 볶음참깨, 식초",팜킷,치커리겉절이
554,파무침,"파, 고추가루",무침,"#한식, #집밥",#반찬,반찬,"파를 얇게 채 썰어 고춧가루, 간장, 식초, 설탕, 참기름으로 무친 것입니다.","대파, 양 념, 간장, 멸치액젓, 설탕, 고춧가루, 다진마늘, 깨소금, 참기름","1. 대파는 7~8cm 길이로 잘라 길게 채 썰고 찬물에 담가 매운맛을 뺀 후, 체에 밭쳐 물기를 제거한다.[무치기]2. 양념의 재료(간장, 멸치액젓, 설탕, 고춧가루, 다진마늘, 깨소금, 참기름)를 모두 섞은 후, 1의대파를 넣고 버무려 완성한다.사용조미료 : 간장, 멸치액젓, 백설탕, 고춧가루, 볶음참깨, 참기름",팜킷,파무침
555,풋고추된장무침,"고추, 된장, 고추장",무침,"#한식, #집밥",#반찬,반찬,풋고추를 된장에 무쳐낸 밑반찬입니다.,"풋고추, 양념장, 대파, 된장, 물엿, 참기름, 다진마늘, 고춧가루, 양 념, 참깨","1. 풋고추는 2cm 길이로 썰어둔다.[양념장 만들기]2. 된장, 물엿, 다진마늘, 고춧가루, 참기름으로 양념장을 만든다.[버무리기]3. 썰어놓은 풋고추에 양념장과 참깨를 넣고 버무려 낸다.사용조미료 : 물엿, 된장, 참기름, 고춧가루, 볶음참깨",팜킷,풋고추된장무침
556,풋마늘무침,"마늘, 고추장",무침,"#한식, #집밥",#반찬,반찬,풋마늘을 살짝 데쳐 고추장양념에 무친 나물입니다.,"풋마늘, 양념장, 간장, 고추장, 파, 마늘, 고춧가루, 식초, 설탕","1. 풋마늘은 잘 손질하여 깨끗이 씻은 후 끓는 물에 살짝 데쳐 먹기 좋게 5cm 길이 정도로 잘라준다.[양념장 무치기]2. 간장, 고추장, 다진 파, 마늘, 식초, 고춧가루, 설탕, 참기름, 깨를 넣고 잘 섞어 양념장을 만들어준다.[무치기]3. 풋마늘에 양념장을 넣고 잘 무쳐준다.사용조미료 : 간장, 고추장, 고춧가루, 식초, 백설탕",팜킷,풋마늘무침
557,해초무침,"해상식물, 고추장, 식초",무침,"#한식, #집밥",#반찬,반찬,해초를 새콤하게 무쳐 입맛을 돋우는 반찬입니다.,"해초, 설탕, 매실청, 식초, 다진마늘, 통깨","[해초 염분 빼기]1. 해초를 몇 번 박박 씻어서 물에 10분 정도 담궈 짠기를 뺀다.[버무리기]2. 설탕, 식초, 다진 마늘을 넣고 버무린 후 통깨를 뿌린다.사용조미료 : 백설탕, 매실청, 식초, 통깨",팜킷,해초무침
558,고추장아찌,"고추, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,입맛 없을 때 먹으면 좋은 밥도둑 반찬입니다.,"풋고추, 소금물, 소금, 물, 양 념, 간장","1. 풋고추는 꼭지를 1cm 정도 남기고 썬다.[삭히기]2. 소금물에 풋고추를 넣어 떠오르지 못하게 접시를 얹어서 그늘진 곳에 15일 정도 두어 노랗게삭힌다.3. 삭은 고추에 간장을 붓고 눌러서 냉장고에 10일 이상 둔다.사용조미료 : 꽃소금, 양조간장",팜킷,고추장아찌
559,깻잎장아찌,"깻잎, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,향긋한 깻잎 향이 입맛을 돋우는 장아찌입니다.,"깻잎, 마늘, 멸치육수, 멸치, 다시마, 물, 양 념, 간장, 물엿","1. 깻잎은 씻어 체에 밭쳐 5분간 물기를 제거한다.2. 마늘은 0.2cm 두께로 편 썰어준다.[육수 만들기]3. 멸치는 내장을 제거해준다.4. 물에 다시마를 넣고 끓어 오르면 멸치를 넣고 5분간 끓이고 건더기는 건져 낸다.[만들기]5. 멸치육수는 3분간 끓인 후 간장, 물엿 마늘을 넣고 1분간 더 끓여준다6. 밀폐용기에 깻잎을 담고 5를 부어준다.7. 이틀이 지나면 국물만 따로 걸러 5분간 끓여 깻잎에 다시 부어 준다.8. 7과 같은 방법으로 2회 반복하여 준다.사용조미료 : 양조간장, 물엿",팜킷,깻잎장아찌
560,더덕장아찌,"더덕, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,더덕을 고추장에 버무려 만든 장아찌입니다.,"더덕, 양 념, 고추장, 소금, 다진파, 다진마늘, 설탕, 참기름, 깨소금","1. 더덕은 껍질을 벗기고 깨끗하게 손질하여 소금물에 담가 쓴맛을 우려낸다. 물기를 닦고 반으로갈라 방망이나 칼등으로 두들겨 얇게 편다.[양념하기]2. 준비된 더덕에 고추장을 넣고 버무려 항아리에 담는다.3. 더덕에 고추장 맛이 배어 들고 빛깔이 붉어지면 꺼내어 고추장을 훑어 내고 잘게 찢어 양념을넣어 버무린다.사용조미료 : 고추장, 꽃소금, 백설탕, 참기름, 볶음참깨",팜킷,더덕장아찌
561,마늘장아찌,"마늘, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,마늘을 식초에 담가 삭힌 후 간장으로 다시 한 번 더 숙성시킨 장아찌입니다.,"통마늘, 양 념, 설탕, 식초, 물, 소금물, 소금, 물","[삭히기]1. 마늘은 줄기를 2cm 가량 남겨두고 썰고, 껍질은 한 겹만 벗겨 소금물에 넣어 7일간 삭혀아린 맛을 제거한다.2. 삭힌 마늘을 건져서 페이퍼 타올을 이용해 물기를 제거한 후, 밀폐용기에 담는다.[양념 만들기]3. 냄비에 설탕, 물, 식초를 담고 센 불에서 15분간 끓인 후 40분간 식힌다.[숙성하기]4. 마늘을 담은 밀폐용기에 양념을 붓고, 떠오르지 않게 위에 돌이나 접시를 올려 누른다.5. 10일마다 국물을 따라내어 끓여서 다시 붓기를 4번 반복해 준다.사용조미료 : 백설탕, 식초, 꽃소금",팜킷,마늘장아찌
562,무짠지,"무, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,소금물에 절인 무를 항아리에 담아 익힌 후 갖은 양념에 무쳐 만든 반찬입니다.,"무, 굵은소금, 물",1. 무를 깨끗하게 씻어서 통에 넣는다.[만들기]2. 통에 소금물을 넣어주고 그 위에 돌을 올려 눌러준다.사용조미료 : 굵은소금,팜킷,무짠지
563,양파장아찌,"양파, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,아삭아삭 새콤달콤한 맛이 일품인 장아찌입니다.,"양파, 소금물(절임용), 물, 소금, 초절임 액, 간장, 설탕, 식초","1. 양파는 껍질을 벗기고 씻어 물기를 닦는다.[절이기]2. 냄비에 소금과 물을 넣고 끓여 식힌 후, 양파를 넣고 3~4시간 절여서 물기를 제거한다.[초절임 액 만들기]3. 냄비에 간장, 설탕, 식초, 물을 넣고 끓여서 초절임 액을 만든다.[담기]4. 소독한 병에 2의 절인 양파를 담고 초절임 액을 붓는다.5. 2~3일에 한 번씩 초절임 액을 따라 내 끓여 식힌 후 다시 붓기를 2~3회 반복한다.6. 양파장아찌를 제공할 때는 양파와 절임 간장(양파무게의 20%정도 분량)을 함께 제공한다.사용조미료 : 꽃소금, 양조간장, 백설탕, 식초",팜킷,양파장아찌
564,오이장아찌,"오이, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,오이를 간장에 절여 만든 장아찌입니다.,"오이, 설탕, 소금, 레몬즙, 물, 식초, 청양고추","1. 오이는 굵은 소금으로 표면을 문질러 깨끗하게 씻어준다.2. 오이를 일정한 크기로 잘라준다.[절이기]3. 물, 설탕, 식초, 소금, 청양고추, 레몬즙을 넣고 끓인다.4. 체에 걸러 오이에 부어준다.사용조미료 : 백설탕, 꽃소금, 식초",팜킷,오이장아찌
565,오이지,"오이, 소금",발효,"#한식, #집밥",#반찬,반찬,"소금물에 절인 오이를 항아리에 담아 돌로 눌러 삭힌 후, 갖은 양념에 무쳐 먹는 반찬입니다.","오이, 쌀뜨물, 양 념, 소금",1. 항아리에 오이를 씻어 담고 돌로 눌러 놓는다.[절이기]2. 맑은 쌀뜨물에 소금을 풀어서 녹인 후 1에 넣는다.3. 다음날 2의 물만 따라 내어 한소끔 끓여 식힌 후 다시 붓는다. 이 과정을 3~4번 되풀이하여완성한다.사용조미료 : 꽃소금,팜킷,오이지
566,매실장아찌,"매실, 간장, 식초",발효,"#한식, #집밥",#반찬,반찬,매실을 소금에 절여 물기를 뺀 다음 고추장에 버무려 만든 장아찌입니다.,"청매실, 자소잎, 양 념, 설탕, 소금, 소금물, 소금, 물","1. 청매실을 물에 씻어 건져서 설탕으로 버무려 병에 담고 즙이 생기도록 보름 정도 둔다.2. 즙이 생기면 매실을 건져 2~3일 동안 꾸덕꾸덕하게 말린다.3. 자소잎은 붉은 물이 잘 우러나도록 약간의 소금을 뿌려 문질러둔다.[절이기 및 숙성]4. 말린 매실과 소금에 문질러 둔 자소잎은 큰 유리병에 켜켜로 넣고 소금물을 부어 위를자소잎으로 덮은 후, 돌로 눌러 숙성시킨다.사용조미료 : 백설탕, 꽃소금",팜킷,일본매실장아찌
567,가지전,"가지, 밀가루",후라이팬구이,"#한식, #집밥",#반찬,반찬,가지를 얇게 썰어 계란옷을 입혀 부친 전입니다.,"가지, 달걀, 밀가루, 식용유, 양 념, 소금","1. 가지는 껍질을 벗겨 1cm 두께로 어슷하게 썰어 찬물에 담가 두었다가 물기를 빼준다.[지지기]2. 가지에 소금을 살짝 뿌려 간을 하고 밀가루를 묻혀 달걀물에 담갔다가 팬에 노릇하게 지진다.사용조미료 : 꽃소금, 식용유",팜킷,가지전
568,고구마전,"고구마, 밀가루",후라이팬구이,"#한식, #집밥",#반찬,반찬,고구마를 강판에 갈아 전을 부쳤습니다.,"고구마, 식용유(부침용), 치자 반죽, 치자, 물, 밀가루, 소금","[고구마 손질]1. 고구마는 깨끗이 씻어 껍질을 벗긴 후 0.5cm 두께로 납작하게 썬다.[치자 반죽 만들기]2. 치자는 반으로 쪼개 물에 풀어 노란물을 만든다.3. 치자물에 밀가루(1/3컵)와 소금을 넣어 걸쭉하게 반죽을 한다.[만드는 방법]4. 손질된 고구마에 밀가루를 살짝 묻힌다.5. 달군 팬에 식용유를 두르고 치자 반죽을 묻혀 양쪽을 각각 3~4분 정도 지진다.사용조미료 : 꽃소금, 식용유",팜킷,고구마전
569,달걀말이,"계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,"보들보들한 식감에 젓가락이 자꾸 가는 달걀말이 어떠세요? 부드러운 식감을 살리기 위해 여러 번 말아 도톰하게 만들어봤답니다. 냉장고속 자투리 야채들을 넣어 간단하게 만들 수 있어 더욱 좋아요.
","달걀%5개, 당근%1/4개, 실파(또는 대파 1/6대)%3대, 식용유%약간, 맛술%1큰술, 소금%1/4작은술, 후춧가루%약간"," 당근과 실파는 잘게 자르고, 볼에 달걀을 넣고 젓가락으로 저어 푼 후 야채와 달걀물 재료를 넣고 섞어주세요. 중약불로 달군 팬에 약간의 식용유를 두르고 달걀물을 국자로 떠서 넣은 후, 윗면이 반쯤 익으면 달걀을 돌돌 말아주세요. 말아진 달걀을 팬 위쪽으로 밀어놓고, 달걀물을 다시 부어 3회 정도 같은 방법으로 반복해서 달걀을 말아주세요. 달걀말이를 먹기좋은 크기로 잘라주세요.(따뜻할 때 김발에 싸서 모양을 잡고 썰어주셔도 좋답니다.) 알맞은 그릇에 담아 맛있게 즐겨주세요.",우리의 식탁,달걀말이
570,달걀프라이,"계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,달걀을 깨뜨려 프라이팬에 부쳐낸 음식입니다.,"달걀, 양 념, 식용유(부침용)",[부치기]1. 프라이팬에 식용유를 두르고 달걀을 부쳐낸다.사용조미료 : 식용유,팜킷,달걀프라이
571,돼지고기완자전,"다진돼지고기, 계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,돼지고기와 두부를 으깨 만든 완자를 계란옷을 입혀 부친 전입니다.,"돼지고기(등심), 두부, 양파, 당근, 밀가루, 달걀, 식용유(부침용), 반죽 양념, 다진파, 다진마늘, 소금, 깨소금, 참기름, 후춧가루","1. 두부는 면포에 싸서 물기를 없앤 후 으깨준다.2. 양파는 잘게 다져준다.3. 당근은 잘게 다져준다.[반죽 만들기]4. 다진 고기와 으깬 두부를 합하여 다진 파, 다진 마늘을 넣어 칼등으로 골고루 섞는다.5. 반죽에 소금, 참기름, 깨소금, 후춧가루, 다진 양파, 다진 당근을 넣고 골고루 섞어 치댄다.[완자 빚기]6. 지름 3cm 정도로 동글납작하게 완자를 만든다.[지지기]7. 완자에 밀가루를 고루 묻힌 후 풀어 놓은 달걀에 담갔다가 식용유를 두른 팬에 지진다.사용조미료 : 식용유, 꽃소금, 볶음참깨, 참기름, 순후추",팜킷,돼지고기완자전
572,두부부침,"두부, 계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,두부를 적당한 크기로 잘라 달걀옷을 입혀 부친 음식입니다.,"두부, 양 념, 간장, 다진파, 다진마늘, 참기름, 통깨, 식용유(부침용), 소금","1. 두부는 납작하게 썰어(3 × 4 × 1cm) 소금을 뿌리고 30분 정도 지난 후 면포로 물기를 제거한다.[양념장 만들기]2. 간장에 다진파, 다진마늘, 참기름, 통깨를 넣고 양념장을 만든다.[부치기]3. 팬에 식용유를 두르고 두부를 앞뒤로 노릇노릇하게 지진 후 양념장을 얹어서 낸다.사용조미료 : 양조간장, 참기름, 볶음참깨, 식용유, 꽃소금",팜킷,두부부침
573,메밀전,"메밀가루, 김치, 식용유",후라이팬구이,"#한식, #집밥",#반찬,반찬,메밀가루에 물을 넣고 반죽하여 얇게 부친 전입니다.,"메밀가루, 배추, 물, 식용유(부침용), 배추 절임용, 소금, 배추 양념, 고춧가루, 다진파, 다진마늘, 깨소금","[반죽 만들기]1. 메밀가루에 물을 넣어 걸쭉하게 반죽한다. 2. 배추를 소금에 살짝 절여서 물기를 짠 후 고춧가루, 다진 파, 다진 마늘, 깨소금을 넣어 양념해준다.[부치기]3. 달군 팬에 식용유를 두르고 메밀 반죽을 얇게 편 후 배추를 얹고 뒤집어 익힌다.사용조미료 : 꽃소금, 식용유, 고춧가루, 볶음참깨",팜킷,메밀전
574,쇠고기완자전,"다진소고기, 계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,곱게 다진 쇠고기에 두부를 으깨서 만든 완자를 계란옷을 입혀 부친 전입니다.,"다진쇠고기(우둔), 두부, 밀가루, 달걀, 식용유(부침용), 양념장, 간장, 소금, 설탕, 다진파, 다진마늘, 후추, 참기름, 초간장, 간장, 식초, 물, 잣가루"," [완자 빚기]1. 다진 쇠고기는 키친타올로 감싸 핏물을 5. 쇠고기와 두부를 합하여 양념장을 넣고제거해준다. 치대서 반죽해준다.2. 두부는 면보에 감싸 물기를 제거하고 6.직경 4cm 두께 0.5cm 정도로 둥글납작하게곱게 으깬다. 완자를 만든다.3. 달걀은 풀어 놓는다.[지지기][양념장 만들기] 7. 완자에 밀가루를 입히고, 달걀물을 씌운다.4. 간장, 소금, 설탕, 다진 파, 마늘, 후추, 8. 팬을 달구어 식용유를 두르고 완자를 놓고,참기름을 섞어 양념장을 만든다. 중불에서 3분 뒤집어서 2분정도 지진다.[초간장 만들기]9. 간장, 식초, 물, 잣가루를 섞어 함께 낸다.사용조미료 : 양조간장, 꽃소금, 백설탕, 순후추, 참기름, 식용유, 양조식초",팜킷,쇠고기완자전
575,스크램블드에그,"계란, 소금, 우유",후라이팬구이,"#서양식, #집밥",#반찬,반찬,달걀을 풀어 우유와 함께 프라이팬에 넣고 저어가며 익힌 요리입니다.,"달걀, 양 념, 식용유(볶음용), 소금, 우유","[달걀물 만들기]1. 볼에 달걀, 우유, 소금을 넣어 풀어준다.[스크램블 만들기]2. 프라이팬에 기름을 두르고 1을 붓고 저어주면서 뭉치도록 볶는다.사용조미료 : 식용유, 꽃소금",팜킷,스크램블드에그
576,애호박전,"애호박, 밀가루, 계란",후라이팬구이,"#한식, #집밥",#반찬,반찬,애호박을 얇게 썰어 부침가루를 묻혀 부친 전입니다.,"애호박, 밀가루, 달걀, 양 념, 후춧가루, 소금, 식용유(부침용)","1. 애호박은 0.5cm 정도의 두께로 둥글게 썰고 후춧가루와 소금을 뿌려 간한다.2. 달걀은 잘 풀어 둔다.[부치기]3. 1의 썰어 놓은 애호박의 물기를 닦고 밀가루를 얇게 묻힌 다음, 달걀물을 입혀 뜨겁게 달군 팬에식용유를 두르고 양면을 노릇노릇하게 지져 낸다.사용조미료 : 순후추, 꽃소금, 식용유",팜킷,애호박전
577,참치완자전,"참치, 계란",후라이팬구이,"#한식, #집밥",#반찬,반찬,참치살을 곱게 다져 완자 모양으로 빚어 달걀옷을 입혀 부친 전입니다.,"참치(캔), 홍고추, 양파, 밀가루, 계란, 식용유(부침용), 완자 양념, 다진마늘, 다진생강, 소금, 참기름","1. 참치는 체애 밭쳐 기름을 제거해 준다.2. 홍고추는 잘게 다져준다.3. 양파는 잘게 다져준다.[완자 만들기]4. 준비해놓은 재료들에 다진 마늘, 생강, 소금, 참기름을 넣고 치대 반죽을 만들어준다.5. 지름 3cm 정도의 동그란 모양으로 완자를 빚어준다.[지지기]6. 밀가루, 계란을 묻혀 식용유를 두른 팬에 지져준다.사용조미료 : 꽃소금, 참기름, 식용유",팜킷,참치완자전
578,표고버섯전,"표고버섯, 밀가루, 계란",후라이팬구이,"#한식, #집밥",#반찬,반찬," 향이 좋은 제철 표고버섯을 이용한 전 레시피! 표고버섯 속에 소를 통통하게 넣어 만들었어요. 표고버섯을 예쁘게 모양내어 보기에도 좋고, 맛도 좋은 표고버섯전. 가족들이 함께 모이는 추석에 내놓기 딱 좋은 레시피랍니다.","표고버섯%18개, 다진 쇠고기%150g, 두부%¼모, 양파%⅙개 (30g), 당근%⅛개 (30g), 달걀%2개, 밀가루%¼컵, 식용유%적당량, 간장%1큰술, 설탕%½작은술 , 다진 파%½큰술, 다진 마늘%1작은술, 참기름%½큰술, 깨소금%약간, 달걀 흰자%½개, 소금%한꼬집, 후춧가루%약간"," 표고버섯은 기둥을 떼고 겉표면 가운데 별모양으로 칼집을 내어 준비해주세요. (tip 표고버섯 기둥은 깨끗이 씻어 육수를 낼 때 사용하시면 좋답니다.) 양파와 당근은 곱게 다지고, 두부는 칼등으로 으깨어 면보에 감싸 물기를 짜주세요. 달걀은 약간의 소금을 넣고 고루 섞어 달걀물을 만들어주세요. 다진 쇠고기는 키친타올에 올려 핏물을 뺀 후 볼에 넣고 다진 양파와 당근, 두부, 양념 재료를 넣어 끈기있게 치대어 소를 만들어주세요. (tip. 다진 쇠고기와 다진 돼지고기를 섞어 만들면 좀 더 부드럽고 풍미 좋은 전을 만들 수 있어요.) 기둥을 뗀 표고버섯 안쪽에 밀가루를 묻힌 후 소를 평평하게 채우고 밀가루를 묻혀 가볍게 털고 달걀물을 묻혀주세요. 달군 팬에 기름을 두르고 소를 채운 표고버섯을 올리고 소가 속까지 익도록 약한불에서 은근히 앞뒤로 뒤집어 가며 익혀주세요.",우리의 식탁,표고버섯전
579,해물완자전,"어패류, 밀가루, 계란",후라이팬구이,"#한식, #집밥",#반찬,반찬,"오징어, 새우살, 홍합살 등 해물을 다져 달걀옷을 입혀 부친 전입니다.","오징어, 칵테일새우, 양파, 대파, 당근, 두부, 달걀, 녹말가루, 밀가루, 반죽 양념, 소금, 후춧가루, 소주, 참기름, 식용유(부침용)","1. 오징어와 새우는 곱게 갈아준다.2. 양파, 대파, 당근을 곱게 다진다.3. 두부는 곱게 으깨고 면보로 물기를 짜준다.[완자빚기]4. 오징어, 새우, 양파, 대파, 당근, 두부, 달걀, 소주를 모두 섞은 후 소금으로 간을 해준다.5. 후추, 참기름, 녹말가루, 밀가루를 넣고 치대어 반죽해준다.[지지기]6. 팬을 달구어 식용유를 두르고 완자를 놓고, 중불에서 앞면은 3분 뒤집어서 2분정도 지진다.사용조미료 : 꽃소금, 순후추, 참기름, 식용유",팜킷,해물완자전
580,햄달걀부침,"햄, 계란, 소금",후라이팬구이,"#한식, #집밥",#반찬,반찬,달걀옷을 입혀 구운 햄으로 밥반찬이나 도시락 반찬으로 좋습니다.,"햄, 달걀, 양 념, 밀가루, 후춧가루, 식용유(부침용)","1. 햄은 0.5cm 두께로 썬다.2. 밀가루에 후춧가루를 넣고 잘 섞는다.3. 달걀은 잘 풀어 놓는다.[부치기]4. 달궈진 팬에 식용유를 두른 후, 2의 밀가루, 3의 달걀 순서로 옷을 입힌 햄을 노릇노릇하게지져 완성한다.사용조미료 : 순후추, 꽃소금, 식용유",팜킷,햄달걀부침
581,가자미식해,"가자미, 고추가루, 소금",발효,"#한식, #집밥",#반찬,반찬,"가자미에 조밥과 고춧가루, 무채, 엿기름을 넣고 삭힌 함경도 향토음식입니다.","가자미, 무, 조, 엿기름, 소금, 양념재료, 고춧가루, 다진마늘, 다진생강, 소금, 통깨","1. 가자미는 깨끗하게 손질하여 3cm 크기로 썰어 엿기름가루를 섞어 재운다.2. 조는 씻어 고슬고슬하게 쪄서 식혀 놓는다.3. 무는 채 썰어(5 × 0.2 × 0.2cm) 소금에 절여서 물기를 꼭 짠다.[만들기]4. 준비된 모든 재료에 양념을 넣고 골고루 버무려 항아리에 꼭꼭 눌러 담아 7일 정도 삭힌다.사용조미료 : 꽃소금, 고춧가루, 엿기름, 통깨",팜킷,가자미식해
